municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Salvador,Salvador (Rio Sena) - 292740805A,Recôncavo,RPGA do Recôncavo Norte,-12.890999999999998,-38.471,77.57,87.15,66.23,364.09,184.07,153.33,311.61,176.91,49.71,107.3,170.41,112.02
Salvador,Salvador (Valéria) - 292740817A,Recôncavo,RPGA do Recôncavo Norte,-12.864,-38.438,59.76,80.93,73.92,405.7,203.01,154.68,308.05,126.94,34.34,54.34,138.16,141.43
Candeias,Candeias (Centro) - 290650101A,Recôncavo,RPGA do Recôncavo Norte,-12.67,-38.544000000000004,59.53,40.95,38.55,146.8,210.08,77.04,66.4,107.09,31.26,55.4,184.6,85.97
Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,Recôncavo,RPGA do Recôncavo Norte,-12.89,-38.353,74.75,52.12,33.93,288.5,112.29,108.73,222.77,117.54,23.92,42.32,215.28,103.47
Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,Recôncavo,RPGA do Recôncavo Norte,-12.839,-38.35,66.13,58.28,64.42,365.35,169.15,136.06,376.5,149.2,39.52,57.05,245.18,133.05
Simões Filho,Simões Filho (CIA) - 293070902A,Recôncavo,RPGA do Recôncavo Norte,-12.825,-38.409,74.21,54.8,49.2,488.21,201.4,161.21,344.01,149.6,41.4,54.6,207.01,189.6
Jaguaquara,Jaguaquara (Lagoa) - 291760701A,Sudoeste,RPGA do Recôncavo Sul,-13.523,-39.969,26.4,73.0,34.2,135.2,18.6,29.2,28.4,34.6,12.0,91.8,267.8,237.8
Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",-17.067,-40.069,12.0,74.8,53.6,94.6,49.2,39.6,44.2,71.4,46.21,122.2,196.2,79.61
Itajuípe,Itajuípe,Sul,RPGA do Leste,-14.674000000000001,-39.376999999999995,135.61,120.6,76.8,94.2,17.6,96.01,18.6,65.2,45.81,72.2,9.6,102.61
Barra do Rocha,Barra do Rocha - 290310201A,Sul,RPGA do Rio de Contas,-14.209000000000001,-39.599000000000004,159.21,132.2,44.81,125.81,15.0,75.81,50.61,91.21,17.2,139.21,181.8,190.2
Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",-16.583,-39.781,64.81,105.0,34.8,97.4,13.8,37.41,32.6,34.6,46.81,121.0,182.6,373.6
Pau Brasil,Pau Brasil - 292390201A,Sul,RPGA do Rio Pardo,-15.460999999999999,-39.652,37.21,38.6,20.8,100.4,22.2,101.81,22.6,87.81,27.2,119.6,160.8,266.0
Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",-17.082,-40.077,30.0,77.75,61.75,107.25,46.5,8.25,0.25,22.75,48.5,146.25,220.25,53.25
Ilhéus,Ilhéus (Conquista) - 291360601A,Sul,RPGA do Leste,-14.797,-39.046,129.71,135.2,124.25,188.28,50.63,184.02,96.28,105.46,116.08,197.05,240.5,424.78
Ilhéus,Ilhéus (Malhado) - 291360602A,Sul,RPGA do Leste,-14.789000000000001,-39.049,140.93,119.53,122.22,172.43,36.25,143.72,88.36,97.49,118.67,179.18,215.16,374.36
Nova Viçosa,Nova Viçosa (Centro) - 292300102A,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",-17.893,-39.372,42.3,259.07,40.81,227.12,97.67,26.96,71.82,122.82,64.81,203.09,278.46,210.68
Itapebi,Itapebi (Jusante) - 54945000,Sul,RPGA do Rio Jequitinhonha,-15.949000000000002,-39.523,64.0,61.4,15.0,79.8,17.0,101.61,44.2,132.8,77.61,73.0,172.21,153.0
Itabuna,Itabuna (Ferradas) - 53170000,Sul,RPGA do Leste,-14.844000000000001,-39.330999999999996,162.21,101.41,67.0,86.8,19.8,66.21,34.2,58.21,71.81,99.2,207.8,225.0
Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,São Francisco,RPGA do Rio Carnaíba de Dentro,-13.251,-43.405,150.7,160.5,18.5,116.11,0.0,0.0,0.0,0.0,0.0,2.6,132.3,145.0
Cotegipe,Cotegipe (Faz. Macambira) - 46675000,São Francisco,RPGA do Rio Grande,-11.610999999999999,-44.157,38.61,131.2,47.8,48.8,0.0,0.0,0.0,0.0,0.0,58.2,205.4,238.2
Paratinga,Paratinga (Volta da Serra) - CD-CL-02,São Francisco,RPGA do Rio Carnaíba de Dentro,-12.575999999999999,-43.128,69.8,121.61,6.4,98.2,1.21,0.0,0.61,2.0,0.61,45.2,154.8,87.81
